Mosquito,Latitude,Longitude,Population,Phylodiversity,Temperature,Precipitation,Leaf Index High Veg,Leaf Index Low Veg,Maximum Temperature,Minimum Temperature,Maximum 10 Meter U Wind,Minimum 10 Meter U Wind,Maximum 10 Meter V Wind,Minimum 10 Meter V Wind,Maximum Leaf Area Index High Vegetation,Minimum Leaf Area Index High Vegetation,Maximum Leaf Area Index Low Vegetation,Minimum Leaf Area Index Low Vegetation,Maximum Skin Reservoir Content,Minimum Skin Reservoir Content,Maximum Snow Depth,Minimum Snow Depth,keys,EvergreenDeciduousNeedleleafTrees,EvergreenBroadleafTrees,DeciduousBroadleafTrees,MixedOtherTrees,Shrubs,HerbaceousVegetation,CultivatedandManagedVegetation,RegularlyFloodedVegetation,UrbanBuilt-up,SnowIce,Barren,OpenWater,Timing
7.0,41.837045,-87.684939,263231.0,1.52671091,295.0411682,0.008824708,4.998063087,1.153099298,5.896412849,-4.501736641,8.828839302,-6.157782078,303.122406,286.2714844,5.001253605,4.991422653,1.17185533,1.111930132,0.000253319,0.0,-7.35e-24,-7.35e-24,59,6,0,0,0,0,0,0,0,94,0,0,0,42
317.0,41.837045,-87.684939,263231.0,1.52671091,295.7146606,0.001814393,4.995629787,1.142716885,5.364045143,-6.345870495,6.511300564,-6.466319561,300.8163757,287.645813,4.998147011,4.993515015,1.156502485,1.12963438,0.000251049,0.0,-7.35e-24,-7.35e-24,60,6,0,0,0,0,0,0,0,94,0,0,0,43
1336.0,41.837045,-87.684939,263231.0,1.52671091,297.2446594,0.002486468,4.991005898,1.11252737,5.91181612,-3.712311268,6.516952515,-5.903731823,300.7842102,290.9089966,4.993400574,4.98730278,1.128793359,1.090204716,0.000213141,-2.91e-11,-7.35e-24,-7.35e-24,61,6,0,0,0,0,0,0,0,94,0,0,0,44
417.0,41.837045,-87.684939,263231.0,1.52671091,294.0319824,0.001917621,4.981353283,1.0508883,5.443729401,-4.576124668,7.735086441,-9.406767845,298.8976135,286.7660522,4.987083435,4.972676754,1.088643432,0.989483714,0.000231624,0.0,-7.35e-24,-7.35e-24,62,6,0,0,0,0,0,0,0,94,0,0,0,45
4.0,41.837045,-87.684939,263231.0,1.52671091,288.7270203,0.004654911,4.979406357,1.036877155,4.930927753,-5.268042088,8.456158638,-7.832036972,297.7122192,278.5730896,4.990706444,4.966529846,1.107659578,0.952028811,0.00024277,0.0,-7.35e-24,-7.35e-24,63,6,0,0,0,0,0,0,0,94,0,0,0,53
13.0,41.837045,-87.684939,263231.0,1.52671091,293.8648071,0.002407079,4.998063087,1.153099298,5.148510933,-4.750643253,5.651630878,-5.732142925,300.9456787,285.7729187,5.001253605,4.991422653,1.17185533,1.111930132,0.000254126,0.0,-7.35e-24,-7.35e-24,64,6,0,0,0,0,0,0,0,94,0,0,0,54
299.0,41.837045,-87.684939,263231.0,1.52671091,296.4896851,0.002402486,4.995629787,1.142716885,5.360815048,-4.144783974,6.225584984,-4.259720325,301.2494507,291.0743408,4.998147011,4.993515015,1.156502485,1.12963438,0.000250496,0.0,-7.35e-24,-7.35e-24,65,6,0,0,0,0,0,0,0,94,0,0,0,55
1308.0,41.837045,-87.684939,263231.0,1.52671091,295.9425964,0.002709546,4.991005898,1.11252737,5.673079491,-4.885719776,6.093108177,-5.266723633,300.5200806,290.193512,4.993400574,4.98730278,1.128793359,1.090204716,0.000245179,0.0,-7.35e-24,-7.35e-24,66,6,0,0,0,0,0,0,0,94,0,0,0,56
378.0,41.837045,-87.684939,263231.0,1.52671091,292.4729614,0.000884029,4.981353283,1.0508883,6.969442844,-3.861338615,4.892857552,-7.596644402,299.054718,283.9066467,4.987083435,4.972676754,1.088643432,0.989483714,0.000239999,0.0,-7.35e-24,-7.35e-24,67,6,0,0,0,0,0,0,0,94,0,0,0,57
2.0,41.837045,-87.684939,263231.0,1.52671091,285.0591431,0.000851224,4.961642265,0.914909363,9.033769608,-4.644212723,9.035829544,-8.934114456,292.6662903,276.5027771,4.971899986,4.951879501,0.984481752,0.855345368,0.000208166,2.91e-11,0.0,0.0,68,6,0,0,0,0,0,0,0,94,0,0,0,58
2.0,41.996728,-88.677644,106105.0,0.951075228,295.8161926,0.002642185,2.291536093,2.441018105,4.616636753,-4.728669167,6.329765797,-6.780774117,301.6917419,288.0142517,2.295651674,2.278563499,2.567530394,2.122204065,0.000474685,-2.91e-11,-7.35e-24,-7.35e-24,69,4,0,0,7,0,6,46,0,33,0,0,4,7
17.0,41.996728,-88.677644,106105.0,0.951075228,295.8051453,0.004613576,2.29056263,2.449586153,4.163321495,-4.866511345,6.614254475,-3.976083755,300.2449341,289.0657959,2.295621157,2.276709795,2.603860617,2.07129693,0.000474101,0.0,-7.35e-24,-7.35e-24,70,4,0,0,7,0,6,46,0,33,0,0,4,8
2.0,41.996728,-88.677644,106105.0,0.951075228,292.2056274,0.004758358,2.260144234,1.619499922,7.677016258,-6.105399132,6.591629982,-3.30140233,299.7904358,282.8518677,2.275538683,2.247792721,2.037966967,1.313613772,0.00036377,0.0,-7.35e-24,-7.35e-24,71,4,0,0,7,0,6,46,0,33,0,0,4,9
1.0,41.996728,-88.677644,106105.0,0.951075228,293.4703979,0.00676343,2.260144234,1.619499922,6.194561005,-4.462163925,5.908992767,-4.438550949,299.0915222,287.1698303,2.275538683,2.247792721,2.037966967,1.313613772,0.000387904,-2.91e-11,-7.35e-24,-7.35e-24,72,4,0,0,7,0,6,46,0,33,0,0,4,21
5.0,41.996728,-88.677644,106105.0,0.951075228,297.2101135,0.002393082,2.29056263,2.449586153,4.737968922,-2.40505743,5.459008694,-3.758307219,301.8429565,290.2311707,2.295621157,2.276709795,2.603860617,2.07129693,0.000460919,-2.91e-11,-7.35e-24,-7.35e-24,73,4,0,0,7,0,6,46,0,33,0,0,4,44
13.0,41.996728,-88.677644,106105.0,0.951075228,293.9691162,0.00115872,2.260144234,1.619499922,4.975102425,-3.97342062,6.308294773,-6.359083176,300.2472229,286.0611267,2.275538683,2.247792721,2.037966967,1.313613772,0.000214459,0.0,-7.35e-24,-7.35e-24,74,4,0,0,7,0,6,46,0,33,0,0,4,45
1.0,41.996728,-88.677644,106105.0,0.951075228,291.6468201,0.001368457,2.260144234,1.619499922,6.19773674,-3.524188995,4.872816086,-5.625974178,298.3983459,281.5102844,2.275538683,2.247792721,2.037966967,1.313613772,0.000330475,0.0,-7.35e-24,-7.35e-24,75,4,0,0,7,0,6,46,0,33,0,0,4,57
1.0,40.146952,-88.963179,117299.07197943445,0.614555783,297.4580994,0.00559118,2.089962006,2.156359673,4.801579475,-4.547060966,5.089841366,-4.731367111,302.9390564,289.3526001,2.214251995,2.000121593,2.64182663,1.810911775,0.000434423,0.0,-7.35e-24,-7.35e-24,76,0,0,0,5,0,6,34,0,54,0,0,0,6
1.0,40.146952,-88.963179,117299.07197943445,0.614555783,294.6875,0.003252804,1.996110439,1.799427509,6.951461315,-5.379531384,5.788793564,-5.165117264,301.2960205,286.7989807,2.113865852,1.928258419,2.256596327,1.532243133,0.000389401,0.0,-7.35e-24,-7.35e-24,77,0,0,0,5,0,6,34,0,54,0,0,0,9
4.0,41.856833,-88.108126,117299.07197943445,1.263947096,294.3055115,0.005533442,2.084446192,2.296622515,4.545409203,-4.233517647,4.221660137,-3.447825432,302.894928,284.333252,2.111978292,2.026474714,2.308486223,2.273213148,0.000405191,0.0,-7.35e-24,-7.35e-24,83,10,0,0,0,0,10,10,0,71,0,0,0,6
54.0,41.856833,-88.108126,117299.07197943445,1.263947096,296.2555237,0.002749568,2.116973877,2.311742544,3.558069229,-3.96411705,4.927821636,-4.975889206,302.5606384,288.9027405,2.124529839,2.107441664,2.314713955,2.308838367,0.000407312,-2.91e-11,-7.35e-24,-7.35e-24,84,10,0,0,0,0,10,10,0,71,0,0,0,7
97.0,41.856833,-88.108126,117299.07197943445,1.263947096,296.3128357,0.004608328,2.06862855,2.293800116,3.878516674,-3.677130699,5.855248451,-2.663180113,301.352417,289.1712952,2.106352091,1.995121717,2.308714151,2.263165236,0.000403675,0.0,-7.35e-24,-7.35e-24,85,10,0,0,0,0,10,10,0,71,0,0,0,8
14.0,41.856833,-88.108126,117299.07197943445,1.263947096,292.7851868,0.002596257,1.884656668,2.216184378,5.829352856,-5.132780075,5.338414192,-3.435367823,300.4064026,284.1974182,1.989162087,1.749282598,2.260639906,2.158309698,0.000373841,0.0,-7.35e-24,-7.35e-24,86,10,0,0,0,0,10,10,0,71,0,0,0,9
